,year,avg_vote,genre_1,genre_2,genre_2
478,1926,6.2,Action,Drama,Romance
479,1926,6.6,Drama,Romance,
480,1926,6.6,Drama,,
481,1926,7.0,Adventure,Romance,
482,1926,6.7,Comedy,Romance,
483,1926,4.6,Comedy,Romance,
484,1926,6.9,Comedy,Romance,
485,1926,8.1,Drama,Fantasy,Horror
486,1926,6.4,Comedy,,
487,1926,5.8,Comedy,,
488,1926,7.6,Drama,Romance,
489,1926,7.5,Action,Comedy,Romance
490,1926,6.9,Drama,,
491,1926,6.3,Western,,
492,1926,6.6,Action,Comedy,War
493,1926,6.7,Drama,,
494,1927,6.0,Comedy,,
495,1926,6.4,Adventure,Comedy,Romance
496,1926,6.9,Comedy,Romance,
497,1926,6.7,Comedy,,
498,1926,7.4,Drama,Thriller,
499,1927,7.3,Crime,Drama,Mystery
500,1926,6.3,Comedy,Drama,Romance
501,1925,6.7,Action,Drama,Fantasy
502,1926,6.7,Drama,Fantasy,Horror
503,1926,6.8,Comedy,,
504,1926,6.8,Drama,War,
505,1926,7.5,Drama,,
506,1927,8.3,Drama,Sci-Fi,
507,1926,6.8,Adventure,Comedy,Crime
508,1925,5.7,Comedy,,
509,1925,7.0,Drama,,
510,1926,6.8,Drama,Romance,
511,1926,5.2,Biography,Drama,History
512,1926,6.7,Drama,History,
513,1926,7.7,Drama,,
514,1926,7.1,Comedy,,
515,1926,6.6,Drama,,
516,1925,6.0,Comedy,,
517,1926,7.7,Drama,,
518,1926,6.5,Action,Adventure,Fantasy
519,1926,5.8,Romance,Drama,
520,1926,6.7,Drama,,
521,1926,6.8,Comedy,Drama,
522,1926,7.0,Comedy,,
523,1926,6.2,Comedy,,
524,1926,6.6,Adventure,Drama,Romance
525,1926,6.2,Drama,Romance,
526,1926,7.3,Drama,,
527,1926,6.7,Comedy,,
528,1926,6.9,Drama,Horror,
529,1925,7.1,Drama,,
530,1926,6.9,Drama,Romance,
531,1926,7.5,Romance,Western,
532,1926,6.9,Drama,Romance,
533,1926,6.1,Adventure,Comedy,Romance
534,1926,6.6,Drama,Romance,
535,1927,6.4,Drama,Romance,Sport
536,1926,6.8,Comedy,Drama,War
537,1926,7.0,Drama,Romance,Western
538,1927,7.5,Drama,Romance,
539,1928,6.2,Drama,Fantasy,Horror
540,1927,5.9,Drama,Romance,
541,1927,7.1,Drama,,
542,1927,7.0,Drama,Romance,War
543,1927,6.9,Adventure,Drama,History
544,1927,6.4,Drama,,
545,1927,6.8,Drama,Romance,
546,1927,6.8,Biography,Drama,
547,1927,7.1,Comedy,Horror,Mystery
548,1927,7.1,Comedy,Crime,Drama
549,1927,6.6,Drama,Romance,
550,1927,7.1,Comedy,Drama,Sport
551,1927,7.2,Comedy,Drama,Romance
552,1927,6.1,Adventure,Drama,Thriller
553,1927,4.8,Drama,Sport,
554,1927,5.7,Romance,Thriller,
555,1927,5.6,Comedy,,
556,1927,6.4,Comedy,Drama,
557,1927,6.9,Adventure,Romance,
558,1926,8.1,Action,Adventure,Comedy
559,1927,6.7,Comedy,Romance,
560,1983,7.0,Drama,Romance,
561,1935,7.4,Comedy,Drama,
562,1927,7.1,Drama,Romance,
563,1927,6.6,Drama,War,
564,1927,6.4,Drama,Romance,
565,1927,7.3,Comedy,Romance,
566,1927,6.5,Drama,Music,Musical
567,1927,6.8,Drama,Fantasy,War
568,1927,7.6,Comedy,Drama,Family
569,1927,7.2,Biography,Drama,History
570,1927,7.3,Drama,,
571,1927,7.3,Drama,Romance,
572,1927,6.8,Horror,,
573,1927,6.3,Comedy,,
574,1927,6.9,Drama,Romance,
575,1927,6.1,Drama,,
576,1927,5.9,Drama,,
577,1927,6.7,Drama,Romance,
578,1927,6.4,Drama,Romance,
579,1927,7.4,Comedy,Romance,
580,1927,8.1,Biography,Drama,History
581,1927,7.5,Drama,History,
582,1927,6.4,Drama,History,Romance
583,1927,6.8,Comedy,Romance,
584,1927,6.3,Comedy,Romance,
585,1927,5.8,Drama,Romance,Sport
586,1927,6.3,Comedy,,
587,1927,6.4,Comedy,Drama,Romance
588,1927,6.6,Comedy,Romance,
589,1927,6.2,Drama,Romance,Sport
590,1927,7.0,Comedy,,
591,1927,6.2,Crime,Drama,Romance
592,1927,7.6,Drama,Romance,
593,1928,5.6,Drama,,
594,1928,7.1,Drama,Romance,
595,1927,6.9,Crime,Drama,
596,1927,4.0,Comedy,Sport,
597,1927,6.0,Comedy,,
598,1927,7.6,Drama,Romance,
599,1927,6.3,Thriller,,
600,1927,8.1,Drama,Romance,
601,1927,5.5,Action,Adventure,
602,1926,6.9,Comedy,Drama,Romance
603,1927,6.1,Comedy,Drama,
604,1927,5.8,Comedy,Drama,
605,1927,7.4,Comedy,Drama,
606,1927,5.2,Drama,,
607,1927,6.7,Adventure,Comedy,Romance
608,1928,6.8,Comedy,,
609,1927,6.7,Drama,History,
610,1927,7.6,Crime,Drama,Film-Noir
611,1927,7.8,Drama,Horror,Romance
612,1927,6.2,Comedy,Drama,
613,1927,6.8,History,Romance,
614,1927,7.5,Drama,Romance,War
615,1927,3.1,Drama,History,War
616,1929,6.7,Drama,,
617,1927,6.3,Drama,Romance,
618,1928,7.0,Drama,Romance,
619,1928,6.0,Drama,Romance,
620,1928,6.5,Comedy,,
621,1928,7.5,Adventure,Drama,
622,1928,4.9,Comedy,,
623,1929,7.9,Crime,Drama,Romance
624,1928,8.1,Comedy,Drama,Family
625,1928,6.2,Comedy,Romance,
626,1928,5.6,Comedy,,
627,1928,7.3,Horror,,
628,1928,8.1,Comedy,Romance,
629,1928,6.5,Drama,,
630,1928,6.8,Comedy,,
631,1928,6.7,Drama,Romance,
632,1928,7.5,Crime,Drama,Film-Noir
633,1928,7.3,Comedy,,
634,1928,6.9,Drama,Romance,War
635,1928,5.9,Comedy,Drama,Romance
636,1928,5.9,Drama,Romance,
637,1928,7.0,Comedy,,
638,1928,6.3,Drama,,
639,1929,6.9,Adventure,Drama,Romance
640,1928,7.1,Drama,War,
641,1928,3.9,Drama,,
642,1928,6.8,Comedy,Drama,
643,1928,6.7,Drama,,
644,1928,6.6,Action,Adventure,Comedy
645,1928,6.6,Drama,Romance,Thriller
646,1928,6.9,Drama,Romance,War
647,1929,6.0,Sci-Fi,,
648,1928,7.1,Drama,,
649,1928,6.9,Comedy,Drama,Romance
650,1928,8.0,Drama,History,Romance
651,1928,7.6,Drama,,
652,1928,5.7,Crime,Drama,Music
653,1928,6.1,Drama,Romance,War
654,1928,7.8,Comedy,Drama,Romance
655,1928,6.8,Drama,,
656,1928,7.7,Drama,Horror,Mystery
657,1928,6.8,Comedy,Romance,
